ID,invoice_ID,description,quantity,unitPrice,amount
660e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440000,Software License,1,1000.00,1000.00 
660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,Support Services,5,100.00,500.00 
660e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,Consulting Hours,10,250.00,2500.00 
660e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440001,Training Session,1,250.50,250.50
660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440002,Enterprise Subscription,2,1200.00,2400.00
660e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440002,Implementation Service,1,800.00,800.00

660e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440003,Cloud Hosting,6,200.00,1200.00
660e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440003,Maintenance Plan,1,650.75,650.75

660e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440004,POS Software,3,1000.00,3000.00
660e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440004,Hardware Setup,1,1125.25,1125.25

660e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440005,Annual Subscription,1,950.00,950.00

660e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440006,AI Analytics Module,5,500.00,2500.00
660e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440006,Custom Development,1,250.00,250.00

660e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440000,Software License,1,1000.00,1000.00
660e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440000,Support Services,5,100.00,500.00
660e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440000,Cloud Backup,2,150.00,300.00
660e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655440000,Security Patch Update,3,50.00,150.00
660e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655440000,User Training,1,200.00,200.00


660e8400-e29b-41d4-a716-446655440018,550e8400-e29b-41d4-a716-446655440001,Consulting Hours,10,250.00,2500.00
660e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655440001,Training Session,1,250.50,250.50
660e8400-e29b-41d4-a716-446655440020,550e8400-e29b-41d4-a716-446655440001,System Audit,2,300.00,600.00
660e8400-e29b-41d4-a716-446655440021,550e8400-e29b-41d4-a716-446655440001,Database Optimization,1,400.00,400.00
660e8400-e29b-41d4-a716-446655440022,550e8400-e29b-41d4-a716-446655440001,API Integration,2,350.00,700.00


660e8400-e29b-41d4-a716-446655440023,550e8400-e29b-41d4-a716-446655440002,Enterprise Subscription,2,1200.00,2400.00
660e8400-e29b-41d4-a716-446655440024,550e8400-e29b-41d4-a716-446655440002,Implementation Service,1,800.00,800.00
660e8400-e29b-41d4-a716-446655440025,550e8400-e29b-41d4-a716-446655440002,Performance Testing,3,150.00,450.00
660e8400-e29b-41d4-a716-446655440026,550e8400-e29b-41d4-a716-446655440002,Security Assessment,1,350.00,350.00
660e8400-e29b-41d4-a716-446655440027,550e8400-e29b-41d4-a716-446655440002,Data Migration,1,200.00,200.00


660e8400-e29b-41d4-a716-446655440028,550e8400-e29b-41d4-a716-446655440003,Cloud Hosting,6,200.00,1200.00
660e8400-e29b-41d4-a716-446655440029,550e8400-e29b-41d4-a716-446655440003,Maintenance Plan,1,650.75,650.75
660e8400-e29b-41d4-a716-446655440030,550e8400-e29b-41d4-a716-446655440003,Technical Support,4,100.00,400.00
660e8400-e29b-41d4-a716-446655440031,550e8400-e29b-41d4-a716-446655440003,Backup Services,2,150.00,300.00
660e8400-e29b-41d4-a716-446655440032,550e8400-e29b-41d4-a716-446655440003,System Upgrade,1,300.00,300.00


660e8400-e29b-41d4-a716-446655440033,550e8400-e29b-41d4-a716-446655440004,POS Software,3,1000.00,3000.00
660e8400-e29b-41d4-a716-446655440034,550e8400-e29b-41d4-a716-446655440004,Hardware Setup,1,1125.25,1125.25
660e8400-e29b-41d4-a716-446655440035,550e8400-e29b-41d4-a716-446655440004,Installation Charges,2,200.00,400.00
660e8400-e29b-41d4-a716-446655440036,550e8400-e29b-41d4-a716-446655440004,Warranty Extension,1,300.00,300.00
660e8400-e29b-41d4-a716-446655440037,550e8400-e29b-41d4-a716-446655440004,On-site Support,1,200.00,200.00

